image_id,split,codec,is_lossy,quality,raw_bytes,compressed_bytes,compression_ratio,encode_time_ms,decode_time_ms,mse,psnr,ssim,dark_ssim,dark_psnr,banding_score
kodim21,train,webp_lossless,False,100.0,1179648,484650,2.4340204271123493,307.3992499848828,5.899791955016553,0.0,inf,1.0,1.0,100.0,0.477018994479437
kodim21,train,jpeg,True,50.0,1179648,54159,21.78119980058716,2.3073749616742134,1.9035000586882234,239.82801140679254,24.331804544614698,0.7089646573210975,0.45747813251073155,19.58487544545138,0.8134528063217203
kodim21,train,jpeg,True,75.0,1179648,124088,9.506543743150022,2.5358330458402634,2.7695000171661377,163.2990197075738,26.000967832155606,0.8499659862345247,0.7263573177006033,22.725753985678022,0.5755816887901882
kodim21,train,jpeg,True,85.0,1179648,185107,6.372789791850119,2.7756670024245977,3.1988329719752073,75.13900248209636,29.37214935636908,0.9304190424873067,0.8781919868496025,26.767677827441034,0.5885877332373899
kodim21,train,jpeg,True,95.0,1179648,328094,3.5954573994038292,3.354166983626783,4.516624961979687,9.157752143012154,38.51291475812375,0.989174137925534,0.9834912110358317,36.02583692881754,0.5373263118448172
kodim21,train,webp_lossy,True,50.0,1179648,37860,31.158161648177497,31.96624992415309,4.919292056001723,236.4761530558268,24.392930091067303,0.7259183989144519,0.48766283542024025,20.28420786389628,0.654558535314694
kodim21,train,webp_lossy,True,75.0,1179648,54614,21.59973633134361,34.84749991912395,6.150875007733703,208.68282063802084,24.935936626850776,0.755430067940313,0.5422487353035863,20.62529610053381,0.6236269460899592
kodim21,train,webp_lossy,True,85.0,1179648,81760,14.428180039138944,39.7415830520913,7.958207977935672,184.7216067843967,25.465626632706023,0.7804044569336342,0.5891659454654868,21.184781023190485,0.6477078791346467
kodim21,train,webp_lossy,True,95.0,1179648,128052,9.212257520382344,45.110250008292496,11.845207889564335,173.539429558648,25.736821953189004,0.7907708463811715,0.6093477319875552,21.333574386851385,0.6491073494159747
kodim13,train,png,False,,1179648,872601,1.3518755995008027,39.66254205442965,10.859958012588322,0.0,inf,1.0,1.0,100.0,0.07165417253320142
